Year,Net Worth (Cr),CET1 Capital (Cr),Tier 1 Capital (Cr),Tier 2 Capital (Cr),Total Capital (Cr),RWA (Cr),CRAR (%),CET1 Ratio (%),Tier 2 Ratio (%),Leverage Ratio (%),Book Value/Share (?),EPS (?)
2024,"32,161","30,940","30,940","6,366","37,306","2,31,577",16.11,13.36,2.75,9.46,45.49,4.18
2023,"25,721","24,816","24,816","4,585","29,401","1,74,762",16.82,14.2,2.62,9.25,38.00,
