Year,Total Income (Cr),Net Profit (Cr),Operating Profit (PPOP) (Cr),Net Interest Income (Cr),Fee & Other Income (Cr),Net Interest Margin (%),ROA (%),ROE (%)
2024,"36,324","2,957","6,237","16,451","5,795",6.36,1.1,10.3
2023,"27,195","2,437","4,932","12,635","4,142",6.05,1.13,10.79
